ОКПО;ИНН;Грузоотправитель;Холдинг грузоотправителя
93669598;5047072747;ТЛК СЕВЕРНЫЙ ТРАНЗИТ, ООО;Прочие
98319265;6678110594;ТЛК ТЕТРА ТРАНС, ООО;Прочие
23926409;5406810767;ТЛК, ООО;Прочие
35608330;1102081353;ТЛК, ООО;Прочие
68410755;2801159420;ТЛК, ООО;Прочие
50342450;2511122130;ТЛК-ГРОДЕКОВО, ООО;Прочие
24459826;7816656801;ТЛС ЛОГИСТИКА СПБ, ООО;Прочие
6707829;2528000436;ТЛС, АО;Прочие
14787908;4253013311;ТЛС, ООО;Прочие
38804416;5402550589;ТЛС, ООО;Прочие
72407606;7816235850;ТЛС, ООО;Прочие
20685081;7017340544;ТЛТ, ООО;Прочие
52738100;7716193003;ТЛЦ БАЛАБАНОВО, ООО;Прочие
76566833;7703543814;ТЛЦ БЕЛЫЙ РАСТ, ООО;"ОАО ""РЖД"""
38996456;7731179571;ТЛЦ ЛЮБЕРЦЫ, ООО;Прочие
87435086;7811419211;ТЛЦ, ООО;Прочие
10735056;3820000740;ТМ БАЙКАЛ, ООО;Прочие
17823131;9715236385;ТМ ЛОГИСТИК, ООО;Прочие
59221050;1200002543;ТМ ЛОГИСТИК, ООО;Прочие
30032492;3811155360;ТМ, ООО;Прочие
210743;2321003173;ТМЗ ИМ. В. В. ВОРОВСКОГО, ОАО;Прочие
932710;3630002958;ТМЗ, ООО;Прочие
23839395;5614064774;ТМЗ, ООО;Прочие
434721;5437100446;ТМК, ОАО;Прочие
42571395;5404097389;ТМП, ООО;Прочие
19724812;7805715011;ТМРП, ООО;Прочие
78682242;1644034949;ТМС ГРУПП, УК ООО;Прочие
5466513;2508128727;ТМТ-ТРАНЗИТ, ООО;Прочие
1125710;6154010465;ТМТП, АО;Прочие
1125844;2322001997;ТМТП, АО;Прочие
60675891;1435359809;ТНК ПОЛЮС, ООО;Прочие
44142043;6678065912;ТНТ, ООО;Прочие
33254537;6443007550;ТОВАРНОЕ ХОЗЯЙСТВО, ООО;Прочие
28419154;5438001293;ТОГУЧИН АГРО, ООО;Прочие
12391951;6821000146;ТОКАРЕВСКАЯ ПТИЦЕФАБРИКА, ОАО;Прочие
72285630;4205064482;ТОКЕМ, ООО ПО;Прочие
13518744;4710013019;ТОЛМАЧЕВСКИЙ ЗАВОД ЖБ И МК, ООО;Прочие
