Код ЕСР;shortname;fullname;region_shortname;region_fullname;Тип региона;КОД дороги
18428;ПЛ 3 КМ;ПЛАТФОРМА 3 КМ ;Мурманская;Мурманская Область;Область;ОКТ
18432;ПЛ 4 КМ;ПЛАТФОРМА 4 КМ ;Мурманская;Мурманская Область;Область;ОКТ
18447;ПЛ 5 КМ;ПЛАТФОРМА 5 КМ ;Мурманская;Мурманская Область;Область;ОКТ
18502;МУРМАНСК-ЭКС;МУРМАНСК-ЭКСПОРТ ;Мурманская;Мурманская Область;Область;ОКТ
18606;КОМСОМОЛ-МУР;КОМСОМОЛЬСК-МУРМАНСКИЙ ;Мурманская;Мурманская Область;Область;ОКТ
18818;САФОНОВО-МУР;САФОНОВО-МУРМАНСКОЕ ;Мурманская;Мурманская Область;Область;ОКТ
19007;ВАЕНГА;ВАЕНГА ;Мурманская;Мурманская Область;Область;ОКТ
20004;ВЫБОРГ;ВЫБОРГ ;Ленинградская;Ленинградская Область;Область;ОКТ
20019;ОП 2 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 2 КМ ;Ленинградская;Ленинградская Область;Область;ОКТ
20023;ТАММИСУО;ТАММИСУО ;Ленинградская;Ленинградская Область;Область;ОКТ
20038;ПАЛЬЦЕВО;ПАЛЬЦЕВО ;Ленинградская;Ленинградская Область;Область;ОКТ
20061;ГВАРДЕЙСКОЕ;ГВАРДЕЙСКОЕ ;Ленинградская;Ленинградская Область;Область;ОКТ
20076;ПИОНЕРЛАГЕРЬ;ПИОНЕРЛАГЕРЬ ;Ленинградская;Ленинградская Область;Область;ОКТ
20080;ОП 21 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 21 КМ ;Ленинградская;Ленинградская Область;Область;ОКТ
20108;ВЫБОРГ-ЭКСП;ВЫБОРГ-ЭКСПОРТ ;Ленинградская;Ленинградская Область;Область;ОКТ
20201;ЕРМИЛОВО;ЕРМИЛОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
20305;ПРИМОРСК;ПРИМОРСК ;Ленинградская;Ленинградская Область;Область;ОКТ
20310;БОР;БОР ;Ленинградская;Ленинградская Область;Область;ОКТ
20409;ПРИБЫЛОВО;ПРИБЫЛОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
20502;СОВЕТСКИЙ;СОВЕТСКИЙ ;Ленинградская;Ленинградская Область;Область;ОКТ
20517;ПОПОВО;ПОПОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
20521;МАТРОСОВО;МАТРОСОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
20536;СОКОЛИНСКОЕ;СОКОЛИНСКОЕ ;Ленинградская;Ленинградская Область;Область;ОКТ
20606;ВЫСОЦК;ВЫСОЦК ;Ленинградская;Ленинградская Область;Область;ОКТ
20610;ПИХТОВОЕ;ПИХТОВОЕ ;Ленинградская;Ленинградская Область;Область;ОКТ
20625;ЩЕРБАКОВО;ЩЕРБАКОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
20706;ВЫСОЦК-ЭКСП;ВЫСОЦК-ЭКСПОРТ ;Ленинградская;Ленинградская Область;Область;ОКТ
20803;КИРИЛЛОВСКОЕ;КИРИЛЛОВСКОЕ ;Ленинградская;Ленинградская Область;Область;ОКТ
20818;ЛЕЙПЯСУО;ЛЕЙПЯСУО ;Ленинградская;Ленинградская Область;Область;ОКТ
20907;ГАВРИЛОВО;ГАВРИЛОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
20911;ЛЕБЕДЕВКА;ЛЕБЕДЕВКА ;Ленинградская;Ленинградская Область;Область;ОКТ
20930;ЛАЗОРЕВКА;ЛАЗОРЕВКА ;Ленинградская;Ленинградская Область;Область;ОКТ
21011;ЖИТКОВО;ЖИТКОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
21100;ВЕЩЕВО;ВЕЩЕВО ;Ленинградская;Ленинградская Область;Область;ОКТ
21115;ОСИНОВКА;ОСИНОВКА ;Ленинградская;Ленинградская Область;Область;ОКТ
21120;ПЕРОВО;ПЕРОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
21134;КАРХУСУО;КАРХУСУО ;Ленинградская;Ленинградская Область;Область;ОКТ
21204;ВЕРХНЕЧЕРКАС;ВЕРХНЕЧЕРКАСОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
21312;КРАВЦОВО;КРАВЦОВО ;Ленинградская;Ленинградская Область;Область;ОКТ
21327;ОП 158 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 158 КМ ;Ленинградская;Ленинградская Область;Область;ОКТ
21331;ЛУЖАЙКА;ЛУЖАЙКА ;Ленинградская;Ленинградская Область;Область;ОКТ
21401;БУСЛОВС-ЭКС;БУСЛОВСКАЯ-ЭКСПОРТ ;Ленинградская;Ленинградская Область;Область;ОКТ
21505;ПРИГОРОДНАЯ;ПРИГОРОДНАЯ ;Ленинградская;Ленинградская Область;Область;ОКТ
21609;ВОЗРОЖДЕНИЕ;ВОЗРОЖДЕНИЕ ;Ленинградская;Ленинградская Область;Область;ОКТ
21613;ХАННИЛА;ХАННИЛА ;Ленинградская;Ленинградская Область;Область;ОКТ
21628;НИКИФОРВСКОЕ;НИКИФОРОВСКОЕ ;Ленинградская;Ленинградская Область;Область;ОКТ
21632;ОП 38 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 38 КМ ;Ленинградская;Ленинградская Область;Область;ОКТ
21647;КУОРЕКОСКИ;КУОРЕКОСКИ ;Ленинградская;Ленинградская Область;Область;ОКТ
21702;КАМЕННОГОРСК;КАМЕННОГОРСК ;Ленинградская;Ленинградская Область;Область;ОКТ
21721;ЛЕНИЯРВИ;ЛЕНИЯРВИ ;Ленинградская;Ленинградская Область;Область;ОКТ
21806;СВЕТОГОРСК;СВЕТОГОРСК ;Ленинградская;Ленинградская Область;Область;ОКТ
21810;КИВИОЯ;КИВИОЯ ;Ленинградская;Ленинградская Область;Область;ОКТ
21901;СВЕТОГОР-ЭКС;СВЕТОГОРСК-ЭКСПОРТ ;Ленинградская;Ленинградская Область;Область;ОКТ
