etsng_code;etsng_name;cargo_group_code;cargo_group_name
316035;ЛОМ И ОТХОДЫ СТАЛЬНЫЕ НЕГАБАРИТНЫЕ;3;Черные металлы
316045;ЛОМ И ОТХОДЫ ЧУГУННЫЕ НЕГАБАРИТНЫЕ;3;Черные металлы
316054;ЛОМ СТАЛЬНОЙ СБОРНЫЙ;3;Черные металлы
316069;ЛОМ ЧЕРНЫХ МЕТАЛЛОВ ДЛЯ ПАКЕТИРОВАНИЯ;10;Остальные грузы
316073;ЛОМ ЧЕРНЫХ МЕТАЛЛОВ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10;Остальные грузы
316088;ОБРЕЗЬ ЧЕРНЫХ МЕТАЛЛОВ ОТ ПРОКАТНОГО ПРОИЗВОДСТВА;3;Черные металлы
316092;ОКАЛИНА ЧЕРНЫХ МЕТАЛЛОВ;10;Остальные грузы
316105;ПАКЕТЫ ИЗ ЛЕГКОВЕСНЫХ СТАЛЬНЫХ ОТХОДОВ И ЛОМА;3;Черные металлы
316111;ПРИСАД ДОМЕННЫЙ;7;Хлебные грузы
316124;РЕЛЬСЫ-ЛОМ;3;Черные металлы
316139;СТРУЖКА ДОМЕННАЯ, МАРТЕНОВСКАЯ;10;Остальные грузы
316143;СТРУЖКА СТАЛЬНАЯ ВЬЮНООБРАЗНАЯ;3;Черные металлы
316158;СТРУЖКА ЧЕРНЫХ МЕТАЛЛОВ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10;Остальные грузы
316162;ШЛАК СВАРОЧНЫЙ;10;Остальные грузы
316177;ОПИЛКИ И СТРУЖКИ МЕТАЛЛИЧЕСКИЕ, ПОДВЕРЖЕННЫЕ САМОНАГРЕВАНИЮ;10;Остальные грузы
320007;ПРОКАТ ЧЕРНЫХ МЕТАЛЛОВ;3;Черные металлы
321000;РЕЛЬСЫ;3;Черные металлы
321014;РЕЛЬСЫ МЕТАЛЛИЧЕСКИЕ НОВЫЕ Р-50;3;Черные металлы
321029;РЕЛЬСЫ МЕТАЛЛИЧЕСКИЕ НОВЫЕ Р-65;3;Черные металлы
321033;РЕЛЬСЫ МЕТАЛЛИЧЕСКИЕ НОВЫЕ Р-75;3;Черные металлы
321048;РЕЛЬСЫ МЕТАЛЛИЧЕСКИЕ НОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;3;Черные металлы
321052;РЕЛЬСЫ МЕТАЛЛИЧЕСКИЕ СТАРЫЕ;3;Черные металлы
321067;РЕШЕТКА ПУТЕВАЯ (ЗВЕНЬЯ ВЕРХНЕГО СТРОЕНИЯ Ж.Д. ПУТИ НА ШПАЛАХ);10;Остальные грузы
322002;БАЛКИ И ШВЕЛЛЕРЫ;10;Остальные грузы
322017;БАЛКИ И ШВЕЛЛЕРЫ N 10-12;10;Остальные грузы
322021;БАЛКИ И ШВЕЛЛЕРЫ N 14;10;Остальные грузы
322036;БАЛКИ И ШВЕЛЛЕРЫ N 16-18;10;Остальные грузы
322040;БАЛКИ И ШВЕЛЛЕРЫ N 20 И БОЛЕЕ;10;Остальные грузы
