index;key;origin;dest;cargo_name;message_type;in_rzd;rzd_routes_count
307;81760_17140;81760;17140;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;30
309;81420_52100;81420;52100;ЧУГУН ПЕР РЯД;Экспорт (Юг);True;14
310;43860_30250;43860;30250;ПРОК ЧЕРМЕТ ПР;Внутр. перевозки (Северо-Запад);True;10
311;81760_85120;81760;85120;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;43
312;81760_51150;81760;51150;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;32
313;81760_51000;81760;51000;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;105
314;78170_28830;78170;28830;ТРУБЫ МЕТ ПР;Внутр. перевозки (Северо-Запад);True;11
315;78170_19980;78170;19980;ТРУБЫ МЕТ ПР;Внутр. перевозки (Северо-Запад);True;2
316;78170_19220;78170;19220;ТРУБЫ МЕТ ПР;Внутр. перевозки (Северо-Запад);True;2
317;21190_52100;21190;52100;ЧУГУН ПЕР РЯД;Экспорт (Юг);True;9
318;24360_4750;24360;4750;КОЛЕСА ВАГ НОВ;Внутр. перевозки (Северо-Запад);True;2
319;43860_98070;43860;98070;ШАРЫ СТ ПОМОЛ;Внутр. перевозки (Восток);True;2
320;24360_54490;24360;54490;ТРУБЫ СТ БОЛЬШ;Экспорт (Юг);True;3
321;59220_52100;59220;52100;СТАЛЬ ЛИСТ ПР;Экспорт (Юг);True;77
322;80120_54490;80120;54490;ЗАГОТ СТ ПР;Экспорт (Юг);True;17
323;81760_23860;81760;23860;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;21
324;79510_81200;79510;81200;ТРУБЫ МЕТ ПР;Внутр. перевозки (Юг);True;9
325;59220_52100;59220;52100;СТАЛЬ ЛИСТ ПР;Экспорт (Юг);True;77
326;59220_78000;59220;78000;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;32
327;51150_61840;51150;61840;ЗАГОТОВКА ТРУБ;Экспорт (Юг);True;99
